Species,longitude,latitude,prov,date,key
Helianthus angustifolius,-95.447493,29.6725,gbif,9/25/2018,2429191471
Helianthus angustifolius,-95.451901,29.699377,gbif,9/27/2018,2429191543
Helianthus angustifolius,-95.451978,29.69931,gbif,9/27/2018,2429191547
Helianthus angustifolius,-84.715722,36.100145,gbif,9/2/2018,2540718312
Helianthus angustifolius,-88.62265,36.240447,gbif,9/21/2018,2540718736
Helianthus angustifolius,-94.305122,30.363558,gbif,10/1/2018,1914344357
Helianthus angustifolius,-86.47991,32.449188,gbif,10/5/2018,1914366559
Helianthus angustifolius,-92.022011,30.103128,gbif,10/2/2018,1920797330
Helianthus angustifolius,-88.110855,30.71638,gbif,10/5/2018,1920797686
Helianthus angustifolius,-89.547096,34.657185,gbif,10/5/2018,1920799059
Helianthus angustifolius,-86.935208,31.438428,gbif,10/6/2018,1920805085
Helianthus angustifolius,-87.678305,31.024158,gbif,10/7/2018,1920814626
Helianthus angustifolius,-89.252518,32.154728,gbif,10/6/2018,1920817188
Helianthus angustifolius,-92.354196,34.703034,gbif,10/8/2018,1920824449
Helianthus angustifolius,-89.167449,31.509743,gbif,10/11/2018,1920843151
Helianthus angustifolius,-88.709237,30.375753,gbif,10/12/2018,1920846921
Helianthus angustifolius,-90.209472,32.462478,gbif,10/12/2018,1920847308
Helianthus angustifolius,-91.167697,31.373173,gbif,10/7/2018,1931481977
Helianthus angustifolius,-86.38765,31.649364,gbif,10/12/2018,1931488180
Helianthus angustifolius,-85.995722,31.750717,gbif,10/12/2018,1931489095
Helianthus angustifolius,-88.635217,30.405378,gbif,10/12/2018,1931489277
Helianthus angustifolius,-82.999112,29.85046,gbif,10/13/2018,1931493029
Helianthus angustifolius,-86.537682,32.305412,gbif,10/14/2018,1931502858
Helianthus angustifolius,-78.869105,35.80159,gbif,10/14/2018,1931505413
Helianthus angustifolius,-95.44836,29.762102,gbif,10/14/2018,1931505845
Helianthus angustifolius,-82.28968,28.587983,gbif,10/13/2018,1931506140
Helianthus angustifolius,-92.050327,32.604877,gbif,10/13/2018,1931508601
Helianthus angustifolius,-86.675781,33.785483,gbif,10/12/2018,1931509852
Helianthus angustifolius,-87.351113,33.219409,gbif,10/12/2018,1931512227
Helianthus angustifolius,-93.813823,31.13866,gbif,10/12/2018,1931513780
Helianthus angustifolius,-90.113453,30.493237,gbif,10/15/2018,1931513887
Helianthus angustifolius,-92.191103,32.635041,gbif,10/9/2018,1931524860
Helianthus angustifolius,-88.678514,30.524836,gbif,10/20/2018,1932321713
Helianthus angustifolius,-88.630394,30.378119,gbif,10/22/2018,1932336127
Helianthus angustifolius,-86.790608,33.387373,gbif,10/1/2018,1933544049
Helianthus angustifolius,-86.691171,33.560546,gbif,10/13/2018,1933546193
Helianthus angustifolius,-92.341477,30.461557,gbif,10/21/2018,1933550642
Helianthus angustifolius,-88.942352,31.464456,gbif,10/31/2018,1933594121
Helianthus angustifolius,-87.627374,30.344993,gbif,10/17/2018,1935585719
Helianthus angustifolius,-95.055641,30.330309,gbif,10/18/2018,1944377857
Helianthus angustifolius,-94.950584,30.310379,gbif,10/18/2018,1944377879
Helianthus angustifolius,-94.967934,30.363377,gbif,10/18/2018,1944377903
Helianthus angustifolius,-94.972153,30.38509,gbif,10/18/2018,1944377905
Helianthus angustifolius,-88.077472,30.248963,gbif,10/20/2018,1944377971
